BOOT_BUTTON,23.90,97.45,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,156.63,-5.42,270.00,100nF,EAGLE-LTSPICE_C0402
C10,67.77,97.02,90.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,94.01,38.05,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,123.29,35.95,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,122.25,18.61,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,135.99,22.61,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,155.43,-5.40,270.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,134.75,37.62,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,131.54,21.19,270.00,"100uF TANT",RCL_CT3528
C4,97.31,16.78,270.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,156.07,38.68,270.00,100nF,EAGLE-LTSPICE_C0402
C5,52.49,97.03,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,148.43,36.63,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.27,96.98,90.00,100nF,EAGLE-LTSPICE_C0402
C7,85.27,13.63,0.00,10uF,EAGLE-LTSPICE_C0402
C8,91.43,37.84,270.00,100nF,EAGLE-LTSPICE_C0402
C9,12.23,88.46,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.00,97.40,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,126.85,35.99,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,51.99,89.31,270.00,100nF,EAGLE-LTSPICE_C0402
D1,153.08,36.17,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,46.07,17.88,270.00,PGB1010603MR,DIOC1608X36N
D11,43.97,17.90,270.00,PGB1010603MR,DIOC1608X36N
D12,39.77,17.82,270.00,PGB1010603MR,DIOC1608X36N
D2,121.72,21.75,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,93.46,18.37,0.00,MBR0530,SOD3716X135N
D4,93.40,14.73,180.00,MBR0530,SOD3716X135N
D5,85.82,22.58,0.00,MBR0530,SOD3716X135N
D6,79.92,10.23,180.00,PGB1010603MR,DIOC1608X36N
D7,88.30,51.18,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,15.34,87.13,180.00,PGB1010603MR,DIOC1608X36N
D9,40.33,28.54,90.00,PGB1010603MR,DIOC1608X36N
